date,city,sales,State Sales Tax,Local Sales Tax,City Sales Tax,Salt Lake City Sales TAx,Mass Transit Tax,Transportation Tax,Salt Lake City Sales Tax,State Sales Tax Change,Local Sales Tax Change,City Sales Tax Change,Salt Lake City Sales Tax Change,Mass Transit Tax Change,Transportation Tax Change,Total Sales Change
1999-08,North Salt Lake,9288997.52,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89737829.4
1999-08,Salt Lake City,302370265.15,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,290025881.12
1999-08,South Salt Lake,108099597.29,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82938985.12
1999-08,Taylorsville,34220402.66,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72659294.23000002
1999-08,West Valley City,94501282.92999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84091944.49
1999-08,Woods Cross,11494518.239999998,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-308712481.96999997
1999-09,Bountiful,23714734.509999998,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87437050.78
1999-09,Holladay,-2000.0,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37286785.29
1999-09,Murray,101964591.25999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977641.9899999946
1999-09,North Salt Lake,8868123.71,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5671784.01
1999-09,Salt Lake City,309821460.7299999,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,281909802.2699999
1999-09,South Salt Lake,94993340.71,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12251441.49000001
